Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C6IN 24xlarge,c6in.24xlarge,"1,632,306.057",Compute optimized,238.0 fps,192 GiB,96 vCPUs,EBS only,150 Gigabit,$5.4432 hourly,$3.4292 hourly,$1.9785 hourly,$9.8592 hourly,$3.4292 hourly
C6IN Double Extra Large,c6in.2xlarge,"136,025.505",Compute optimized,56.0 fps,16 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,$0.4536 hourly,$0.2858 hourly,$0.1656 hourly,$0.8216 hourly,$0.6538 hourly
C6IN 32xlarge,c6in.32xlarge,"2,142,887.038",Compute optimized,212.0 fps,256 GiB,128 vCPUs,EBS only,200 Gigabit,$7.2576 hourly,$4.5723 hourly,$2.2395 hourly,$13.1456 hourly,$10.4603 hourly
C6IN Quadruple Extra Large,c6in.4xlarge,"269,837.254",Compute optimized,107.0 fps,32 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,$0.9072 hourly,$0.5715 hourly,$0.3595 hourly,$1.6432 hourly,$1.3075 hourly
C6IN Eight Extra Large,c6in.8xlarge,"544,588.155",Compute optimized,186.0 fps,64 GiB,32 vCPUs,EBS only,50 Gigabit,$1.8144 hourly,$1.1431 hourly,$0.6214 hourly,$3.2864 hourly,$2.6151 hourly
C6IN Large,c6in.large,"33,765.247",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1134 hourly,$0.0714 hourly,$0.0327 hourly,$0.2054 hourly,$0.1634 hourly
C6IN Metal,c6in.metal,"2,300,606.605",Compute optimized,258.0 fps,256 GiB,128 vCPUs,EBS only,200 Gigabit,$7.2576 hourly,$4.5723 hourly,$1.9864 hourly,$13.1456 hourly,$10.4603 hourly
C6IN Extra Large,c6in.xlarge,"68,678.371",Compute optimized,28.0 fps,8 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.2268 hourly,$0.1429 hourly,$0.0713 hourly,$0.4108 hourly,$0.1429 hourly
C7A 12xlarge Extra Large,c7a.12xlarge,"1,416,207.71",Compute optimized,298.0 fps,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.4634 hourly,$1.6295 hourly,$0.6972 hourly,$4.6714 hourly,$3.8375 hourly
C7A 16xlarge Extra Large,c7a.16xlarge,"2,015,219.103",Compute optimized,322.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$3.2845 hourly,$2.1727 hourly,$1.0341 hourly,$6.2285 hourly,$5.1167 hourly
C7A 24xlarge,c7a.24xlarge,"2,865,386.529",Compute optimized,315.0 fps,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.9267 hourly,$3.259 hourly,$1.3645 hourly,$9.3427 hourly,$7.675 hourly
C7A Double Extra Large,c7a.2xlarge,"257,510.73",Compute optimized,105.0 fps,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.4106 hourly,$0.2716 hourly,$0.1461 hourly,$0.7786 hourly,$0.6396 hourly
C7A 32xlarge,c7a.32xlarge,"4,052,342.761",Compute optimized,294.0 fps,256 GiB,128 vCPUs,EBS only,50 Gigabit,$6.569 hourly,$4.3454 hourly,$2.1164 hourly,$12.457 hourly,$10.2334 hourly
C7A 48xlarge,c7a.48xlarge,"5,863,490.609",Compute optimized,311.0 fps,384 GiB,192 vCPUs,EBS only,50 Gigabit,$9.8534 hourly,$6.5181 hourly,$2.711 hourly,$18.6854 hourly,$15.3501 hourly
C7A Quadruple Extra Large,c7a.4xlarge,"514,497.026",Compute optimized,189.0 fps,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.8211 hourly,$0.5432 hourly,$0.3344 hourly,$1.5571 hourly,$1.2792 hourly
C7A Eight Extra Large,c7a.8xlarge,"1,061,007.958",Compute optimized,285.0 fps,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.6422 hourly,$1.0863 hourly,$0.6148 hourly,$3.1142 hourly,$2.5583 hourly
C7A Large,c7a.large,"67,336.289",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1026 hourly,$0.0679 hourly,$0.0237 hourly,$0.1946 hourly,$0.1599 hourly
C7A Medium,c7a.medium,"32,965.222",Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0513 hourly,$0.034 hourly,$0.0071 hourly,$0.0973 hourly,$0.08 hourly
C7A Metal-48xl,c7a.metal-48xl,"6,115,948.184",Compute optimized,329.0 fps,384 GiB,192 vCPUs,EBS only,50 Gigabit,$9.8534 hourly,$6.5181 hourly,$2.5424 hourly,$18.6854 hourly,$15.3501 hourly
C7A Extra Large,c7a.xlarge,"133,081.956",Compute optimized,55.0 fps,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2053 hourly,$0.1358 hourly,$0.0661 hourly,$0.3893 hourly,$0.3198 hourly
C7G 12xlarge Extra Large,c7g.12xlarge,"1,252,037.822",Compute optimized,240.0 fps,96 GiB,48 vCPUs,EBS only,22.5 Gigabit,$1.74 hourly,$1.1466 hourly,$0.6116 hourly,,
C7G 16xlarge Extra Large,c7g.16xlarge,"1,611,786.186",Compute optimized,242.0 fps,128 GiB,64 vCPUs,EBS only,30 Gigabit,$2.32 hourly,$1.5288 hourly,$0.6907 hourly,,
C7G Double Extra Large,c7g.2xlarge,"199,104.032",Compute optimized,72.0 fps,16 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.29 hourly,$0.1911 hourly,$0.0832 hourly,,
C7G Quadruple Extra Large,c7g.4xlarge,"413,329.889",Compute optimized,133.0 fps,32 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.58 hourly,$0.3822 hourly,$0.1898 hourly,,
C7G Eight Extra Large,c7g.8xlarge,"807,876.799",Compute optimized,212.0 fps,64 GiB,32 vCPUs,EBS only,15 Gigabit,$1.16 hourly,$0.7644 hourly,$0.4196 hourly,,
C7G Large,c7g.large,"51,890.77",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0725 hourly,$0.0478 hourly,$0.022 hourly,,
C7G Medium,c7g.medium,"24,828.271",Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0363 hourly,$0.0239 hourly,$0.005 hourly,,
C7G Metal,c7g.metal,"1,533,852.606",Compute optimized,245.0 fps,128 GiB,64 vCPUs,EBS only,30 Gigabit,$2.32 hourly,$1.5288 hourly,$0.7277 hourly,,
C7G Extra Large,c7g.xlarge,"99,781.727",Compute optimized,38.0 fps,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.145 hourly,$0.0955 hourly,$0.0486 hourly,,
C7GD 12xlarge Extra Large,c7gd.12xlarge,"1,211,280.045",Compute optimized,238.0 fps,96 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),22.5 Gigabit,$2.1773 hourly,$1.3721 hourly,$0.6416 hourly,,
C7GD 16xlarge Extra Large,c7gd.16xlarge,"1,579,466.93",Compute optimized,242.0 fps,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$2.903 hourly,$1.8295 hourly,$0.8432 hourly,,
C7GD Double Extra Large,c7gd.2xlarge,"206,718.346",Compute optimized,72.0 fps,16 GiB,8 vCPUs,474 GB NVMe SSD,Up to 15 Gigabit,$0.3629 hourly,$0.2287 hourly,$0.0967 hourly,,
C7GD Quadruple Extra Large,c7gd.4xlarge,"402,161.619",Compute optimized,133.0 fps,32 GiB,16 vCPUs,950 GB NVMe SSD,Up to 15 Gigabit,$0.7258 hourly,$0.4574 hourly,$0.2133 hourly,,
C7GD Eight Extra Large,c7gd.8xlarge,"819,882.142",Compute optimized,212.0 fps,64 GiB,32 vCPUs,1900 GB NVMe SSD,15 Gigabit,$1.4515 hourly,$0.9148 hourly,$0.4521 hourly,,
C7GD Large,c7gd.large,"50,706.725",Compute optimized,,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.0907 hourly,$0.0572 hourly,$0.0233 hourly,,
C7GD Medium,c7gd.medium,"24,917.461",Compute optimized,,2 GiB,1 vCPUs,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0454 hourly,$0.0286 hourly,$0.0056 hourly,,
C7GD Metal,c7gd.metal,"1,630,157.922",Compute optimized,245.0 fps,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$2.903 hourly,$1.8295 hourly,$0.7833 hourly,,
C7GD Extra Large,c7gd.xlarge,"100,483.577",Compute optimized,36.0 fps,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.1814 hourly,$0.1143 hourly,$0.0524 hourly,,
C7GN 12xlarge Extra Large,c7gn.12xlarge,,Compute optimized,,96 GiB,48 vCPUs,EBS only,150 Gigabit,$2.9952 hourly,$1.887 hourly,$0.8065 hourly,,
C7GN 16xlarge Extra Large,c7gn.16xlarge,,Compute optimized,,128 GiB,64 vCPUs,EBS only,200 Gigabit,$3.9936 hourly,$2.516 hourly,$0.7017 hourly,,
C7GN Double Extra Large,c7gn.2xlarge,,Compute optimized,,16 GiB,8 vCPUs,EBS only,Up to 50 Gigabit,$0.4992 hourly,$0.3145 hourly,$0.1399 hourly,,
C7GN Quadruple Extra Large,c7gn.4xlarge,,Compute optimized,,32 GiB,16 vCPUs,EBS only,50 Gigabit,$0.9984 hourly,$0.629 hourly,$0.2648 hourly,,
C7GN Eight Extra Large,c7gn.8xlarge,,Compute optimized,,64 GiB,32 vCPUs,EBS only,100 Gigabit,$1.9968 hourly,$1.258 hourly,$0.5524 hourly,,
C7GN Large,c7gn.large,,Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 30 Gigabit,$0.1248 hourly,$0.0786 hourly,$0.023 hourly,,
C7GN Medium,c7gn.medium,,Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 25 Gigabit,$0.0624 hourly,$0.0393 hourly,$0.0074 hourly,,
C7GN Metal,c7gn.metal,,Compute optimized,,128 GiB,64 vCPUs,EBS only,200 Gigabit,$3.9936 hourly,$2.516 hourly,$0.9788 hourly,,
C7GN Extra Large,c7gn.xlarge,,Compute optimized,,8 GiB,4 vCPUs,EBS only,Up to 40 Gigabit,$0.2496 hourly,$0.1572 hourly,$0.0685 hourly,,
C7I-FLEX 12xlarge Extra Large,c7i-flex.12xlarge,"1,109,399.076",Compute optimized,245.0 fps,96 GiB,48 vCPUs,EBS only,Up to 18.75 Gigabit,$2.0349 hourly,$1.3461 hourly,$0.6117 hourly,$4.2429 hourly,$3.5541 hourly
C7I-FLEX 16xlarge Extra Large,c7i-flex.16xlarge,"1,296,684.001",Compute optimized,228.0 fps,128 GiB,64 vCPUs,EBS only,Up to 25 Gigabit,$2.7132 hourly,$1.7948 hourly,$0.8822 hourly,$5.6572 hourly,$4.7388 hourly
C7I-FLEX Double Extra Large,c7i-flex.2xlarge,"181,289.421",Compute optimized,73.0 fps,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.3392 hourly,$0.2244 hourly,$0.1374 hourly,$0.6888 hourly,$0.574 hourly
C7I-FLEX Quadruple Extra Large,c7i-flex.4xlarge,"374,590.292",Compute optimized,140.0 fps,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.6783 hourly,$0.4487 hourly,$0.2904 hourly,$1.3775 hourly,$1.1479 hourly
C7I-FLEX Eight Extra Large,c7i-flex.8xlarge,"686,965.544",Compute optimized,210.0 fps,64 GiB,32 vCPUs,EBS only,Up to 12.5 Gigabit,$1.3566 hourly,$0.8974 hourly,$0.5093 hourly,$2.755 hourly,$2.2958 hourly
C7I-FLEX Large,c7i-flex.large,"40,363.269",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0848 hourly,$0.0561 hourly,$0.0232 hourly,$0.1722 hourly,$0.1435 hourly
C7I-FLEX Extra Large,c7i-flex.xlarge,"81,045.487",Compute optimized,32.0 fps,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1696 hourly,$0.1122 hourly,$0.0523 hourly,$0.3444 hourly,$0.287 hourly
C7I 12xlarge Extra Large,c7i.12xlarge,"1,114,637.356",Compute optimized,245.0 fps,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.142 hourly,$1.4169 hourly,$0.676 hourly,$4.35 hourly,$3.6249 hourly
C7I 16xlarge Extra Large,c7i.16xlarge,"1,461,076.022",Compute optimized,240.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.856 hourly,$1.8892 hourly,$0.8767 hourly,$5.80 hourly,$4.8332 hourly
C7I 24xlarge,c7i.24xlarge,"1,984,974.843",Compute optimized,251.0 fps,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.284 hourly,$2.8339 hourly,$1.4319 hourly,$8.70 hourly,$7.2499 hourly
C7I Double Extra Large,c7i.2xlarge,"159,211.901",Compute optimized,58.0 fps,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.357 hourly,$0.2362 hourly,$0.1179 hourly,$0.725 hourly,$0.6042 hourly
C7I 48xlarge,c7i.48xlarge,"3,925,310.072",Compute optimized,268.0 fps,384 GiB,192 vCPUs,EBS only,50 Gigabit,$8.568 hourly,$5.6677 hourly,$3.3087 hourly,$17.40 hourly,$14.4997 hourly
C7I Quadruple Extra Large,c7i.4xlarge,"382,775.12",Compute optimized,131.0 fps,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.714 hourly,$0.4723 hourly,$0.2879 hourly,$1.45 hourly,$1.2083 hourly
C7I Eight Extra Large,c7i.8xlarge,"766,834.412",Compute optimized,223.0 fps,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.428 hourly,$0.9446 hourly,$0.4939 hourly,$2.90 hourly,$2.4166 hourly
C7I Large,c7i.large,"39,481.477",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0893 hourly,$0.059 hourly,$0.0237 hourly,$0.1813 hourly,$0.151 hourly
C7I Metal-24xl,c7i.metal-24xl,"2,007,248.397",Compute optimized,278.0 fps,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.284 hourly,$2.8339 hourly,$1.2645 hourly,$8.70 hourly,$7.2499 hourly
C7I Metal-48xl,c7i.metal-48xl,"4,179,667.658",Compute optimized,283.0 fps,384 GiB,192 vCPUs,EBS only,50 Gigabit,$8.568 hourly,$5.6677 hourly,$2.5808 hourly,$17.40 hourly,$14.4997 hourly
C7I Extra Large,c7i.xlarge,"97,652.277",Compute optimized,33.0 fps,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1785 hourly,$0.1181 hourly,$0.0555 hourly,$0.3625 hourly,$0.3021 hourly
C8A 12xlarge Extra Large,c8a.12xlarge,"2,043,132.804",Compute optimized,388.0 fps,96 GiB,48 vCPUs,EBS only,22.5 Gigabit,$2.5865 hourly,,$0.6774 hourly,$4.7945 hourly,
C8A 16xlarge Extra Large,c8a.16xlarge,"2,600,921.16",Compute optimized,400.0 fps,128 GiB,64 vCPUs,EBS only,30 Gigabit,$3.4486 hourly,,$0.9358 hourly,$6.3926 hourly,
C8A 24xlarge,c8a.24xlarge,"3,994,099.626",Compute optimized,414.0 fps,192 GiB,96 vCPUs,EBS only,40 Gigabit,$5.173 hourly,,$1.4369 hourly,$9.589 hourly,
C8A Double Extra Large,c8a.2xlarge,"354,872.098",Compute optimized,133.0 fps,16 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.4311 hourly,,$0.1526 hourly,$0.7991 hourly,
C8A 48xlarge,c8a.48xlarge,"6,834,509.093",Compute optimized,410.0 fps,384 GiB,192 vCPUs,EBS only,75 Gigabit,$10.3459 hourly,,$2.4153 hourly,$19.1779 hourly,
C8A Quadruple Extra Large,c8a.4xlarge,"731,565.384",Compute optimized,237.0 fps,32 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.8622 hourly,,$0.2867 hourly,$1.5982 hourly,
C8A Eight Extra Large,c8a.8xlarge,"1,300,372.503",Compute optimized,349.0 fps,64 GiB,32 vCPUs,EBS only,15 Gigabit,$1.7243 hourly,,$0.6067 hourly,$3.1963 hourly,
C8A Large,c8a.large,"94,265.515",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1078 hourly,,$0.0288 hourly,$0.1998 hourly,
C8A Medium,c8a.medium,"42,137.791",Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0539 hourly,,$0.0078 hourly,$0.0999 hourly,
C8A Metal-24xl,c8a.metal-24xl,"3,948,696.855",Compute optimized,438.0 fps,192 GiB,96 vCPUs,EBS only,40 Gigabit,$5.173 hourly,,$0.8839 hourly,$9.589 hourly,
C8A Metal-48xl,c8a.metal-48xl,"7,931,202.824",Compute optimized,412.0 fps,384 GiB,192 vCPUs,EBS only,75 Gigabit,$10.3459 hourly,,$1.9722 hourly,$19.1779 hourly,
C8A Extra Large,c8a.xlarge,"188,146.754",Compute optimized,68.0 fps,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2155 hourly,,$0.067 hourly,$0.3995 hourly,
C8G 12xlarge Extra Large,c8g.12xlarge,"1,371,722.512",Compute optimized,293.0 fps,96 GiB,48 vCPUs,EBS only,22.5 Gigabit,$1.9142 hourly,$1.2614 hourly,$0.4452 hourly,,
C8G 16xlarge Extra Large,c8g.16xlarge,"1,995,323.461",Compute optimized,296.0 fps,128 GiB,64 vCPUs,EBS only,30 Gigabit,$2.5523 hourly,$1.6819 hourly,$0.7912 hourly,,
C8G 24xlarge,c8g.24xlarge,"2,925,714.286",Compute optimized,298.0 fps,192 GiB,96 vCPUs,EBS only,40 Gigabit,$3.8285 hourly,$2.5228 hourly,$1.1008 hourly,,
C8G Double Extra Large,c8g.2xlarge,"236,896.654",Compute optimized,88.0 fps,16 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.319 hourly,$0.2102 hourly,$0.0848 hourly,,
C8G 48xlarge,c8g.48xlarge,"5,350,424.969",Compute optimized,278.0 fps,384 GiB,192 vCPUs,EBS only,50 Gigabit,$7.657 hourly,$5.0457 hourly,$1.439 hourly,,
C8G Quadruple Extra Large,c8g.4xlarge,"486,803.073",Compute optimized,159.0 fps,32 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.6381 hourly,$0.4205 hourly,$0.2086 hourly,,
C8G Eight Extra Large,c8g.8xlarge,"1,024,081.927",Compute optimized,254.0 fps,64 GiB,32 vCPUs,EBS only,15 Gigabit,$1.2762 hourly,$0.841 hourly,$0.426 hourly,,
C8G Large,c8g.large,"58,152.213",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0798 hourly,$0.0526 hourly,$0.0187 hourly,,
C8G Medium,c8g.medium,"30,161.363",Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0399 hourly,$0.0263 hourly,$0.0049 hourly,,
C8G Metal-24xl,c8g.metal-24xl,"3,003,284.843",Compute optimized,300.0 fps,192 GiB,96 vCPUs,EBS only,40 Gigabit,$3.8285 hourly,$2.5228 hourly,$1.0196 hourly,,
C8G Metal-48xl,c8g.metal-48xl,"5,484,930.724",Compute optimized,283.0 fps,384 GiB,192 vCPUs,EBS only,50 Gigabit,$7.657 hourly,$5.0457 hourly,$0.9912 hourly,,
C8G Extra Large,c8g.xlarge,"125,039.075",Compute optimized,44.0 fps,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1595 hourly,$0.1051 hourly,$0.0455 hourly,,
C8GB 12xlarge Extra Large,c8gb.12xlarge,"1,444,151.937",Compute optimized,291.0 fps,96 GiB,48 vCPUs,EBS only,100 Gigabit,$2.844 hourly,,$0.498 hourly,,
C8GB 16xlarge Extra Large,c8gb.16xlarge,"1,872,713.972",Compute optimized,297.0 fps,128 GiB,64 vCPUs,EBS only,133.33 Gigabit,$3.792 hourly,,$0.9106 hourly,,
C8GB 24xlarge,c8gb.24xlarge,"2,751,701.899",Compute optimized,297.0 fps,192 GiB,96 vCPUs,EBS only,200 Gigabit,$5.688 hourly,,$1.4205 hourly,,
C8GB Double Extra Large,c8gb.2xlarge,"255,244.476",Compute optimized,88.0 fps,16 GiB,8 vCPUs,EBS only,Up to 33.33 Gigabit,$0.474 hourly,,$0.1085 hourly,,
C8GB 48xlarge,c8gb.48xlarge,"5,503,403.798",Compute optimized,117.0 fps,384 GiB,192 vCPUs,EBS only,400 Gigabit,$11.376 hourly,,$1.4104 hourly,,
C8GB Quadruple Extra Large,c8gb.4xlarge,"477,255.779",Compute optimized,159.0 fps,32 GiB,16 vCPUs,EBS only,33.33 Gigabit,$0.948 hourly,,$0.2773 hourly,,
C8GB Eight Extra Large,c8gb.8xlarge,"983,858.57",Compute optimized,257.0 fps,64 GiB,32 vCPUs,EBS only,66.66 Gigabit,$1.896 hourly,,$0.5258 hourly,,
C8GB Large,c8gb.large,"60,163.947",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 20 Gigabit,$0.1185 hourly,,$0.025 hourly,,
C8GB Medium,c8gb.medium,"29,620.853",Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 16.66 Gigabit,$0.0593 hourly,,$0.007 hourly,,
C8GB Metal-24xl,c8gb.metal-24xl,"2,861,827.396",Compute optimized,301.0 fps,192 GiB,96 vCPUs,EBS only,200 Gigabit,,,,,
C8GB Metal-48xl,c8gb.metal-48xl,"3,725,261.932",Compute optimized,254.0 fps,384 GiB,192 vCPUs,EBS only,400 Gigabit,,,,,
C8GB Extra Large,c8gb.xlarge,"120,681.852",Compute optimized,46.0 fps,8 GiB,4 vCPUs,EBS only,Up to 26.66 Gigabit,$0.237 hourly,,$0.0594 hourly,,
C8GD 12xlarge Extra Large,c8gd.12xlarge,,Compute optimized,,96 GiB,48 vCPUs,2850 GB (3×950 GB NVMe SSD),22.5 Gigabit,$2.3515 hourly,,$0.5149 hourly,,
C8GD 16xlarge Extra Large,c8gd.16xlarge,,Compute optimized,,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$3.1354 hourly,,$0.5935 hourly,,
C8GD 24xlarge,c8gd.24xlarge,,Compute optimized,,192 GiB,96 vCPUs,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$4.703 hourly,,$1.0848 hourly,,
C8GD Double Extra Large,c8gd.2xlarge,,Compute optimized,,16 GiB,8 vCPUs,474 GB NVMe SSD,Up to 15 Gigabit,$0.3919 hourly,,$0.0674 hourly,,
C8GD 48xlarge,c8gd.48xlarge,,Compute optimized,,384 GiB,192 vCPUs,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$9.4061 hourly,,$1.898 hourly,,
C8GD Quadruple Extra Large,c8gd.4xlarge,,Compute optimized,,32 GiB,16 vCPUs,950 GB NVMe SSD,Up to 15 Gigabit,$0.7838 hourly,,$0.2134 hourly,,
C8GD Eight Extra Large,c8gd.8xlarge,,Compute optimized,,64 GiB,32 vCPUs,1900 GB NVMe SSD,15 Gigabit,$1.5677 hourly,,$0.4432 hourly,,
C8GD Large,c8gd.large,,Compute optimized,,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.098 hourly,,$0.0221 hourly,,
C8GD Medium,c8gd.medium,,Compute optimized,,2 GiB,1 vCPUs,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.049 hourly,,$0.0073 hourly,,
C8GD Metal-24xl,c8gd.metal-24xl,,Compute optimized,,192 GiB,96 vCPUs,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$4.703 hourly,,$0.9972 hourly,,
C8GD Metal-48xl,c8gd.metal-48xl,,Compute optimized,,384 GiB,192 vCPUs,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$9.4061 hourly,,$0.9406 hourly,,
C8GD Extra Large,c8gd.xlarge,,Compute optimized,,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.196 hourly,,$0.0542 hourly,,
C8GN 12xlarge Extra Large,c8gn.12xlarge,"1,393,020.387",Compute optimized,290.0 fps,96 GiB,48 vCPUs,EBS only,150 Gigabit,$2.844 hourly,,$0.703 hourly,,
C8GN 16xlarge Extra Large,c8gn.16xlarge,"1,838,816.262",Compute optimized,297.0 fps,128 GiB,64 vCPUs,EBS only,200 Gigabit,$3.792 hourly,,$0.7432 hourly,,
C8GN 24xlarge,c8gn.24xlarge,"2,892,219.628",Compute optimized,297.0 fps,192 GiB,96 vCPUs,EBS only,300 Gigabit,$5.688 hourly,,$1.0803 hourly,,
C8GN Double Extra Large,c8gn.2xlarge,"236,756.437",Compute optimized,88.0 fps,16 GiB,8 vCPUs,EBS only,Up to 50 Gigabit,$0.474 hourly,,$0.0787 hourly,,
C8GN 48xlarge,c8gn.48xlarge,"5,220,228.385",Compute optimized,274.0 fps,384 GiB,192 vCPUs,EBS only,600 Gigabit,$11.376 hourly,,$1.354 hourly,,
C8GN Quadruple Extra Large,c8gn.4xlarge,"470,726.684",Compute optimized,157.0 fps,32 GiB,16 vCPUs,EBS only,50 Gigabit,$0.948 hourly,,$0.2094 hourly,,
C8GN Eight Extra Large,c8gn.8xlarge,"975,386.726",Compute optimized,252.0 fps,64 GiB,32 vCPUs,EBS only,100 Gigabit,$1.896 hourly,,$0.523 hourly,,
C8GN Large,c8gn.large,"60,656.608",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 30 Gigabit,$0.1185 hourly,,$0.0177 hourly,,
C8GN Medium,c8gn.medium,"29,202.765",Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 25 Gigabit,$0.0593 hourly,,$0.0068 hourly,,
C8GN Metal-24xl,c8gn.metal-24xl,,Compute optimized,,192 GiB,96 vCPUs,EBS only,300 Gigabit,,,,,
C8GN Metal-48xl,c8gn.metal-48xl,,Compute optimized,,384 GiB,192 vCPUs,EBS only,600 Gigabit,,,,,
C8GN Extra Large,c8gn.xlarge,"122,165.381",Compute optimized,46.0 fps,8 GiB,4 vCPUs,EBS only,Up to 40 Gigabit,$0.237 hourly,,$0.0496 hourly,,
C8I-FLEX 12xlarge Extra Large,c8i-flex.12xlarge,"1,172,686.184",Compute optimized,266.0 fps,96 GiB,48 vCPUs,EBS only,Up to 22.5 Gigabit,$2.1365 hourly,,$0.7006 hourly,$4.2341 hourly,
C8I-FLEX 16xlarge Extra Large,c8i-flex.16xlarge,"1,565,493.905",Compute optimized,274.0 fps,128 GiB,64 vCPUs,EBS only,Up to 30 Gigabit,$2.8486 hourly,,$0.8956 hourly,$5.6454 hourly,
C8I-FLEX Double Extra Large,c8i-flex.2xlarge,"188,065.666",Compute optimized,76.0 fps,16 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.3561 hourly,,$0.1173 hourly,$0.7057 hourly,
C8I-FLEX Quadruple Extra Large,c8i-flex.4xlarge,"366,244.468",Compute optimized,141.0 fps,32 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.7122 hourly,,$0.2711 hourly,$1.4114 hourly,
C8I-FLEX Eight Extra Large,c8i-flex.8xlarge,"771,921.361",Compute optimized,232.0 fps,64 GiB,32 vCPUs,EBS only,Up to 15 Gigabit,$1.4243 hourly,,$0.5506 hourly,$2.8227 hourly,
C8I-FLEX Large,c8i-flex.large,"48,504.446",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.089 hourly,,$0.0243 hourly,$0.1764 hourly,
